category,sold_in_jan,sold_in_feb,sold_in_mar,sold_in_apr,sold_in_may,sold_in_jun,sold_in_jul,sold_in_aug,sold_in_sep,sold_in_oct,sold_in_nov,sold_in_dec,total_sold
agro_industry_and_commerce,21,34,30,12,12,11,31,22,4,5,19,11,212
air_conditioning,33,24,42,39,23,26,22,36,8,22,19,3,297
art,19,13,12,27,44,38,24,22,3,3,1,3,209
arts_and_craftmanship,0,0,0,1,2,0,12,9,0,0,0,0,24
audio,26,20,48,42,38,31,29,33,10,34,36,17,364
auto,302,405,431,444,436,412,461,543,108,162,263,268,4235
baby,264,210,268,295,353,303,351,349,174,152,203,143,3065
bed_bath_table,896,855,1087,1020,1116,1155,1203,1170,533,553,975,552,11115
books_general_interest,47,37,64,62,73,60,38,65,15,12,38,42,553
books_imported,6,4,3,5,10,11,8,2,4,0,4,3,60
books_technical,17,27,19,24,59,28,30,38,8,7,6,4,267
cds_dvds_musicals,0,0,0,1,0,0,5,3,0,1,3,1,14
christmas_supplies,10,24,12,13,6,10,10,12,4,12,24,16,153
cine_photo,2,3,7,7,19,14,7,10,1,1,1,0,72
computers,13,1,0,15,14,13,8,41,41,27,7,23,203
computers_accessories,738,1087,932,680,784,669,753,769,253,343,532,287,7827
consoles_games,77,70,108,65,83,73,97,152,66,119,134,93,1137
construction_tools_construction,49,72,75,92,126,121,121,169,11,19,47,27,929
construction_tools_lights,7,17,13,47,41,44,56,64,1,2,10,2,304
construction_tools_safety,11,9,24,24,29,16,15,27,5,12,15,7,194
cool_stuff,340,257,379,328,423,304,351,387,207,266,302,252,3796
costruction_tools_garden,24,22,23,26,24,15,33,33,6,9,17,6,238
costruction_tools_tools,8,12,9,18,7,4,12,14,3,5,5,6,103
diapers_and_hygiene,5,4,6,4,3,7,4,3,0,1,0,2,39
drinks,52,32,26,61,49,34,20,32,8,12,19,34,379
dvds_blu_ray,4,2,7,7,11,10,5,7,2,5,3,1,64
electronics,362,351,298,262,303,233,256,176,67,65,184,210,2767
fashio_female_clothing,5,5,5,6,5,3,4,7,4,1,3,0,48
fashion_bags_accessories,160,146,207,157,221,170,165,226,124,119,200,136,2031
fashion_childrens_clothes,0,0,2,0,1,2,0,1,1,1,0,0,8
fashion_male_clothing,7,10,9,8,5,17,14,18,16,12,12,4,132
fashion_shoes,10,14,26,34,32,30,25,25,14,19,20,13,262
fashion_sport,2,0,2,5,3,6,1,3,5,1,1,1,30
fashion_underwear_beach,10,15,11,10,13,8,5,15,18,3,10,13,131
fixed_telephony,32,34,35,22,27,29,20,30,13,12,5,5,264
flowers,10,4,3,3,1,2,2,0,0,0,6,2,33
food,22,48,59,48,47,25,71,124,17,18,17,14,510
food_drink,11,24,24,21,42,13,26,36,9,17,33,22,278
furniture_bedroom,13,9,6,13,15,11,15,15,4,4,3,1,109
furniture_decor,794,700,923,797,884,638,760,869,350,446,783,390,8334
furniture_living_room,32,50,43,46,50,44,86,63,11,19,39,20,503
furniture_mattress_and_upholstery,9,6,4,1,3,0,2,2,1,0,2,8,38
garden_tools,298,368,412,407,432,299,369,376,225,286,550,325,4347
health_beauty,713,834,884,883,1060,1145,1100,1209,383,409,584,466,9670
home_appliances,28,56,80,116,92,110,116,114,10,8,25,16,771
home_appliances_2,21,22,14,25,32,25,30,32,6,10,13,8,238
home_comfort_2,2,3,4,2,0,3,4,3,1,5,3,0,30
home_confort,18,24,34,35,59,34,67,44,33,27,45,14,434
home_construction,42,43,54,81,86,79,63,50,11,18,38,39,604
housewares,387,481,611,654,926,915,853,917,255,247,423,295,6964
industry_commerce_and_business,19,38,31,53,43,28,16,13,2,9,7,9,268
kitchen_dining_laundry_garden_furniture,22,22,15,29,22,34,34,28,6,16,33,20,281
la_cuisine,1,0,1,3,1,0,4,2,0,1,1,0,14
luggage_accessories,133,68,95,106,119,97,128,129,42,56,72,47,1092
market_place,20,50,34,35,36,23,17,31,11,24,16,14,311
music,3,2,3,7,5,7,4,6,0,1,0,0,38
musical_instruments,54,53,65,76,82,67,69,68,28,27,49,42,680
office_furniture,155,172,280,191,161,127,197,88,61,108,102,49,1691
party_supplies,2,0,6,2,4,2,3,14,2,2,4,2,43
perfumery,263,266,308,280,343,343,331,351,160,222,311,241,3419
pet_shop,105,142,169,221,209,242,246,289,71,80,99,74,1947
security_and_services,1,0,0,0,0,0,0,0,1,0,0,0,2
signaling_and_security,8,15,10,39,11,29,35,26,9,10,5,2,199
small_appliances,61,60,68,88,66,73,77,61,33,32,31,29,679
small_appliances_home_oven_and_coffee,1,5,7,15,9,4,15,19,1,0,0,0,76
sports_leisure,734,807,960,818,808,703,855,900,461,490,612,493,8641
stationery,411,178,220,191,196,205,271,250,77,101,166,251,2517
tablets_printing_image,3,21,8,12,8,7,2,6,3,1,6,6,83
telephony,398,470,516,429,480,379,369,413,178,263,383,267,4545
toys,208,213,337,318,421,349,363,354,297,317,495,445,4117
Unknown,0,1,0,2,3,1,11,6,0,0,0,0,24
watches_gifts,381,374,511,602,771,605,696,628,268,319,469,367,5991
